template_id,src_cat,src_aspect,predicate,tgt_cat,tgt_aspect
t0876,common data element,,consumed by,organism taxon,
t0877,common data element,,consumed by,event,
t0878,concept count analysis result,,related to,attribute,
t0879,concept count analysis result,,related to,organism taxon,
t0880,concept count analysis result,,related to,event,
t0881,concept count analysis result,,associated with,attribute,
t0882,concept count analysis result,,associated with,organism taxon,
t0883,concept count analysis result,,associated with,event,
t0884,concept count analysis result,,has contributor,agent,
t0885,concept count analysis result,,has provider,agent,
t0886,concept count analysis result,,assesses,attribute,
t0887,concept count analysis result,,assesses,organism taxon,
t0888,concept count analysis result,,assesses,event,
t0889,concept count analysis result,,is assessed by,attribute,
t0890,concept count analysis result,,is assessed by,organism taxon,
t0891,concept count analysis result,,is assessed by,event,
t0892,concept count analysis result,,interacts with,attribute,
t0893,concept count analysis result,,interacts with,organism taxon,
t0894,concept count analysis result,,interacts with,event,
t0895,concept count analysis result,,associated with sensitivity to,molecular entity,
t0896,concept count analysis result,,associated with sensitivity to,chemical mixture,
t0897,concept count analysis result,,associated with sensitivity to,environmental food contaminant,
t0898,concept count analysis result,,associated with resistance to,molecular entity,
t0899,concept count analysis result,,associated with resistance to,chemical mixture,
t0900,concept count analysis result,,associated with resistance to,environmental food contaminant,
t0901,concept count analysis result,,correlated with,attribute,
t0902,concept count analysis result,,correlated with,organism taxon,
t0903,concept count analysis result,,correlated with,event,
t0904,concept count analysis result,,positively correlated with,attribute,
t0905,concept count analysis result,,positively correlated with,organism taxon,
t0906,concept count analysis result,,positively correlated with,event,
t0907,concept count analysis result,,negatively correlated with,attribute,
t0908,concept count analysis result,,negatively correlated with,organism taxon,
t0909,concept count analysis result,,negatively correlated with,event,
t0910,concept count analysis result,,occurs together in literature with,attribute,
t0911,concept count analysis result,,occurs together in literature with,organism taxon,
t0912,concept count analysis result,,occurs together in literature with,event,
t0913,concept count analysis result,,located in,attribute,
t0914,concept count analysis result,,located in,organism taxon,
t0915,concept count analysis result,,located in,event,
t0916,concept count analysis result,,location of,attribute,
t0917,concept count analysis result,,location of,organism taxon,
t0918,concept count analysis result,,location of,event,
t0919,concept count analysis result,,is input of,molecular activity,
t0920,concept count analysis result,,is input of,biological process,
t0921,concept count analysis result,,is output of,molecular activity,
t0922,concept count analysis result,,is output of,biological process,
t0923,concept count analysis result,,actively involved in,molecular activity,
t0924,concept count analysis result,,actively involved in,biological process,
t0925,concept count analysis result,,capable of,activity and behavior,
t0926,concept count analysis result,,capable of,phenomenon,
t0927,concept count analysis result,,capable of,environmental process,
t0928,concept count analysis result,,consumes,attribute,
t0929,concept count analysis result,,consumes,organism taxon,
t0930,concept count analysis result,,consumes,event,
t0931,concept count analysis result,,consumed by,attribute,
t0932,concept count analysis result,,consumed by,organism taxon,
t0933,concept count analysis result,,consumed by,event,
t0934,observed expected frequency analysis result,,related to,attribute,
t0935,observed expected frequency analysis result,,related to,organism taxon,
t0936,observed expected frequency analysis result,,related to,event,
t0937,observed expected frequency analysis result,,associated with,attribute,
t0938,observed expected frequency analysis result,,associated with,organism taxon,
t0939,observed expected frequency analysis result,,associated with,event,
t0940,observed expected frequency analysis result,,has contributor,agent,
t0941,observed expected frequency analysis result,,has provider,agent,
t0942,observed expected frequency analysis result,,assesses,attribute,
t0943,observed expected frequency analysis result,,assesses,organism taxon,
t0944,observed expected frequency analysis result,,assesses,event,
t0945,observed expected frequency analysis result,,is assessed by,attribute,
t0946,observed expected frequency analysis result,,is assessed by,organism taxon,
t0947,observed expected frequency analysis result,,is assessed by,event,
t0948,observed expected frequency analysis result,,interacts with,attribute,
t0949,observed expected frequency analysis result,,interacts with,organism taxon,
t0950,observed expected frequency analysis result,,interacts with,event,
t0951,observed expected frequency analysis result,,associated with sensitivity to,molecular entity,
t0952,observed expected frequency analysis result,,associated with sensitivity to,chemical mixture,
t0953,observed expected frequency analysis result,,associated with sensitivity to,environmental food contaminant,
t0954,observed expected frequency analysis result,,associated with resistance to,molecular entity,
t0955,observed expected frequency analysis result,,associated with resistance to,chemical mixture,
t0956,observed expected frequency analysis result,,associated with resistance to,environmental food contaminant,
t0957,observed expected frequency analysis result,,correlated with,attribute,
t0958,observed expected frequency analysis result,,correlated with,organism taxon,
t0959,observed expected frequency analysis result,,correlated with,event,
t0960,observed expected frequency analysis result,,positively correlated with,attribute,
t0961,observed expected frequency analysis result,,positively correlated with,organism taxon,
t0962,observed expected frequency analysis result,,positively correlated with,event,
t0963,observed expected frequency analysis result,,negatively correlated with,attribute,
t0964,observed expected frequency analysis result,,negatively correlated with,organism taxon,
t0965,observed expected frequency analysis result,,negatively correlated with,event,
t0966,observed expected frequency analysis result,,occurs together in literature with,attribute,
t0967,observed expected frequency analysis result,,occurs together in literature with,organism taxon,
t0968,observed expected frequency analysis result,,occurs together in literature with,event,
t0969,observed expected frequency analysis result,,located in,attribute,
t0970,observed expected frequency analysis result,,located in,organism taxon,
t0971,observed expected frequency analysis result,,located in,event,
t0972,observed expected frequency analysis result,,location of,attribute,
t0973,observed expected frequency analysis result,,location of,organism taxon,
t0974,observed expected frequency analysis result,,location of,event,
t0975,observed expected frequency analysis result,,is input of,molecular activity,
t0976,observed expected frequency analysis result,,is input of,biological process,
t0977,observed expected frequency analysis result,,is output of,molecular activity,
t0978,observed expected frequency analysis result,,is output of,biological process,
t0979,observed expected frequency analysis result,,actively involved in,molecular activity,
t0980,observed expected frequency analysis result,,actively involved in,biological process,
t0981,observed expected frequency analysis result,,capable of,activity and behavior,
t0982,observed expected frequency analysis result,,capable of,phenomenon,
t0983,observed expected frequency analysis result,,capable of,environmental process,
t0984,observed expected frequency analysis result,,consumes,attribute,
t0985,observed expected frequency analysis result,,consumes,organism taxon,
t0986,observed expected frequency analysis result,,consumes,event,
t0987,observed expected frequency analysis result,,consumed by,attribute,
t0988,observed expected frequency analysis result,,consumed by,organism taxon,
t0989,observed expected frequency analysis result,,consumed by,event,
t0990,relative frequency analysis result,,related to,attribute,
t0991,relative frequency analysis result,,related to,organism taxon,
t0992,relative frequency analysis result,,related to,event,
t0993,relative frequency analysis result,,associated with,attribute,
t0994,relative frequency analysis result,,associated with,organism taxon,
t0995,relative frequency analysis result,,associated with,event,
t0996,relative frequency analysis result,,has contributor,agent,
t0997,relative frequency analysis result,,has provider,agent,
t0998,relative frequency analysis result,,assesses,attribute,
t0999,relative frequency analysis result,,assesses,organism taxon,
t1000,relative frequency analysis result,,assesses,event,
t1001,relative frequency analysis result,,is assessed by,attribute,
t1002,relative frequency analysis result,,is assessed by,organism taxon,
t1003,relative frequency analysis result,,is assessed by,event,
t1004,relative frequency analysis result,,interacts with,attribute,
t1005,relative frequency analysis result,,interacts with,organism taxon,
t1006,relative frequency analysis result,,interacts with,event,
t1007,relative frequency analysis result,,associated with sensitivity to,molecular entity,
t1008,relative frequency analysis result,,associated with sensitivity to,chemical mixture,
t1009,relative frequency analysis result,,associated with sensitivity to,environmental food contaminant,
t1010,relative frequency analysis result,,associated with resistance to,molecular entity,
t1011,relative frequency analysis result,,associated with resistance to,chemical mixture,
t1012,relative frequency analysis result,,associated with resistance to,environmental food contaminant,
t1013,relative frequency analysis result,,correlated with,attribute,
t1014,relative frequency analysis result,,correlated with,organism taxon,
t1015,relative frequency analysis result,,correlated with,event,
t1016,relative frequency analysis result,,positively correlated with,attribute,
t1017,relative frequency analysis result,,positively correlated with,organism taxon,
t1018,relative frequency analysis result,,positively correlated with,event,
t1019,relative frequency analysis result,,negatively correlated with,attribute,
t1020,relative frequency analysis result,,negatively correlated with,organism taxon,
t1021,relative frequency analysis result,,negatively correlated with,event,
t1022,relative frequency analysis result,,occurs together in literature with,attribute,
t1023,relative frequency analysis result,,occurs together in literature with,organism taxon,
t1024,relative frequency analysis result,,occurs together in literature with,event,
t1025,relative frequency analysis result,,located in,attribute,
t1026,relative frequency analysis result,,located in,organism taxon,
t1027,relative frequency analysis result,,located in,event,
t1028,relative frequency analysis result,,location of,attribute,
t1029,relative frequency analysis result,,location of,organism taxon,
t1030,relative frequency analysis result,,location of,event,
t1031,relative frequency analysis result,,is input of,molecular activity,
t1032,relative frequency analysis result,,is input of,biological process,
t1033,relative frequency analysis result,,is output of,molecular activity,
t1034,relative frequency analysis result,,is output of,biological process,
t1035,relative frequency analysis result,,actively involved in,molecular activity,
t1036,relative frequency analysis result,,actively involved in,biological process,
t1037,relative frequency analysis result,,capable of,activity and behavior,
t1038,relative frequency analysis result,,capable of,phenomenon,
t1039,relative frequency analysis result,,capable of,environmental process,
t1040,relative frequency analysis result,,consumes,attribute,
t1041,relative frequency analysis result,,consumes,organism taxon,
t1042,relative frequency analysis result,,consumes,event,
t1043,relative frequency analysis result,,consumed by,attribute,
t1044,relative frequency analysis result,,consumed by,organism taxon,
t1045,relative frequency analysis result,,consumed by,event,
t1046,text mining result,,related to,attribute,
t1047,text mining result,,related to,organism taxon,
t1048,text mining result,,related to,event,
t1049,text mining result,,associated with,attribute,
t1050,text mining result,,associated with,organism taxon,
t1051,text mining result,,associated with,event,
t1052,text mining result,,has contributor,agent,
t1053,text mining result,,has provider,agent,
t1054,text mining result,,assesses,attribute,
t1055,text mining result,,assesses,organism taxon,
t1056,text mining result,,assesses,event,
t1057,text mining result,,is assessed by,attribute,
t1058,text mining result,,is assessed by,organism taxon,
t1059,text mining result,,is assessed by,event,
t1060,text mining result,,interacts with,attribute,
t1061,text mining result,,interacts with,organism taxon,
t1062,text mining result,,interacts with,event,
t1063,text mining result,,associated with sensitivity to,molecular entity,
t1064,text mining result,,associated with sensitivity to,chemical mixture,
t1065,text mining result,,associated with sensitivity to,environmental food contaminant,
t1066,text mining result,,associated with resistance to,molecular entity,
t1067,text mining result,,associated with resistance to,chemical mixture,
t1068,text mining result,,associated with resistance to,environmental food contaminant,
t1069,text mining result,,correlated with,attribute,
t1070,text mining result,,correlated with,organism taxon,
t1071,text mining result,,correlated with,event,
t1072,text mining result,,positively correlated with,attribute,
t1073,text mining result,,positively correlated with,organism taxon,
t1074,text mining result,,positively correlated with,event,
t1075,text mining result,,negatively correlated with,attribute,
t1076,text mining result,,negatively correlated with,organism taxon,
t1077,text mining result,,negatively correlated with,event,
t1078,text mining result,,occurs together in literature with,attribute,
t1079,text mining result,,occurs together in literature with,organism taxon,
t1080,text mining result,,occurs together in literature with,event,
t1081,text mining result,,located in,attribute,
t1082,text mining result,,located in,organism taxon,
t1083,text mining result,,located in,event,
t1084,text mining result,,location of,attribute,
t1085,text mining result,,location of,organism taxon,
t1086,text mining result,,location of,event,
t1087,text mining result,,is input of,molecular activity,
t1088,text mining result,,is input of,biological process,
t1089,text mining result,,is output of,molecular activity,
t1090,text mining result,,is output of,biological process,
t1091,text mining result,,actively involved in,molecular activity,
t1092,text mining result,,actively involved in,biological process,
t1093,text mining result,,capable of,activity and behavior,
t1094,text mining result,,capable of,phenomenon,
t1095,text mining result,,capable of,environmental process,
t1096,text mining result,,consumes,attribute,
t1097,text mining result,,consumes,organism taxon,
t1098,text mining result,,consumes,event,
t1099,text mining result,,consumed by,attribute,
t1100,text mining result,,consumed by,organism taxon,
t1101,text mining result,,consumed by,event,
t1102,chi squared analysis result,,related to,attribute,
t1103,chi squared analysis result,,related to,organism taxon,
t1104,chi squared analysis result,,related to,event,
t1105,chi squared analysis result,,associated with,attribute,
t1106,chi squared analysis result,,associated with,organism taxon,
t1107,chi squared analysis result,,associated with,event,
t1108,chi squared analysis result,,has contributor,agent,
t1109,chi squared analysis result,,has provider,agent,
t1110,chi squared analysis result,,assesses,attribute,
t1111,chi squared analysis result,,assesses,organism taxon,
t1112,chi squared analysis result,,assesses,event,
t1113,chi squared analysis result,,is assessed by,attribute,
t1114,chi squared analysis result,,is assessed by,organism taxon,
t1115,chi squared analysis result,,is assessed by,event,
t1116,chi squared analysis result,,interacts with,attribute,
t1117,chi squared analysis result,,interacts with,organism taxon,
t1118,chi squared analysis result,,interacts with,event,
t1119,chi squared analysis result,,associated with sensitivity to,molecular entity,
t1120,chi squared analysis result,,associated with sensitivity to,chemical mixture,
t1121,chi squared analysis result,,associated with sensitivity to,environmental food contaminant,
t1122,chi squared analysis result,,associated with resistance to,molecular entity,
t1123,chi squared analysis result,,associated with resistance to,chemical mixture,
t1124,chi squared analysis result,,associated with resistance to,environmental food contaminant,
t1125,chi squared analysis result,,correlated with,attribute,
t1126,chi squared analysis result,,correlated with,organism taxon,
t1127,chi squared analysis result,,correlated with,event,
t1128,chi squared analysis result,,positively correlated with,attribute,
t1129,chi squared analysis result,,positively correlated with,organism taxon,
t1130,chi squared analysis result,,positively correlated with,event,
t1131,chi squared analysis result,,negatively correlated with,attribute,
t1132,chi squared analysis result,,negatively correlated with,organism taxon,
t1133,chi squared analysis result,,negatively correlated with,event,
t1134,chi squared analysis result,,occurs together in literature with,attribute,
t1135,chi squared analysis result,,occurs together in literature with,organism taxon,
t1136,chi squared analysis result,,occurs together in literature with,event,
t1137,chi squared analysis result,,located in,attribute,
t1138,chi squared analysis result,,located in,organism taxon,
t1139,chi squared analysis result,,located in,event,
t1140,chi squared analysis result,,location of,attribute,
t1141,chi squared analysis result,,location of,organism taxon,
t1142,chi squared analysis result,,location of,event,
t1143,chi squared analysis result,,is input of,molecular activity,
t1144,chi squared analysis result,,is input of,biological process,
t1145,chi squared analysis result,,is output of,molecular activity,
t1146,chi squared analysis result,,is output of,biological process,
t1147,chi squared analysis result,,actively involved in,molecular activity,
t1148,chi squared analysis result,,actively involved in,biological process,
t1149,chi squared analysis result,,capable of,activity and behavior,
t1150,chi squared analysis result,,capable of,phenomenon,
t1151,chi squared analysis result,,capable of,environmental process,
t1152,chi squared analysis result,,consumes,attribute,
t1153,chi squared analysis result,,consumes,organism taxon,
t1154,chi squared analysis result,,consumes,event,
t1155,chi squared analysis result,,consumed by,attribute,
t1156,chi squared analysis result,,consumed by,organism taxon,
t1157,chi squared analysis result,,consumed by,event,
t1158,log odds analysis result,,related to,attribute,
t1159,log odds analysis result,,related to,organism taxon,
t1160,log odds analysis result,,related to,event,
t1161,log odds analysis result,,associated with,attribute,
t1162,log odds analysis result,,associated with,organism taxon,
t1163,log odds analysis result,,associated with,event,
t1164,log odds analysis result,,has contributor,agent,
t1165,log odds analysis result,,has provider,agent,
t1166,log odds analysis result,,assesses,attribute,
t1167,log odds analysis result,,assesses,organism taxon,
t1168,log odds analysis result,,assesses,event,
t1169,log odds analysis result,,is assessed by,attribute,
t1170,log odds analysis result,,is assessed by,organism taxon,
t1171,log odds analysis result,,is assessed by,event,
t1172,log odds analysis result,,interacts with,attribute,
t1173,log odds analysis result,,interacts with,organism taxon,
t1174,log odds analysis result,,interacts with,event,
t1175,log odds analysis result,,associated with sensitivity to,molecular entity,
t1176,log odds analysis result,,associated with sensitivity to,chemical mixture,
t1177,log odds analysis result,,associated with sensitivity to,environmental food contaminant,
t1178,log odds analysis result,,associated with resistance to,molecular entity,
t1179,log odds analysis result,,associated with resistance to,chemical mixture,
t1180,log odds analysis result,,associated with resistance to,environmental food contaminant,
t1181,log odds analysis result,,correlated with,attribute,
t1182,log odds analysis result,,correlated with,organism taxon,
t1183,log odds analysis result,,correlated with,event,
t1184,log odds analysis result,,positively correlated with,attribute,
t1185,log odds analysis result,,positively correlated with,organism taxon,
t1186,log odds analysis result,,positively correlated with,event,
t1187,log odds analysis result,,negatively correlated with,attribute,
t1188,log odds analysis result,,negatively correlated with,organism taxon,
t1189,log odds analysis result,,negatively correlated with,event,
t1190,log odds analysis result,,occurs together in literature with,attribute,
t1191,log odds analysis result,,occurs together in literature with,organism taxon,
t1192,log odds analysis result,,occurs together in literature with,event,
t1193,log odds analysis result,,located in,attribute,
t1194,log odds analysis result,,located in,organism taxon,
t1195,log odds analysis result,,located in,event,
t1196,log odds analysis result,,location of,attribute,
t1197,log odds analysis result,,location of,organism taxon,
t1198,log odds analysis result,,location of,event,
t1199,log odds analysis result,,is input of,molecular activity,
t1200,log odds analysis result,,is input of,biological process,
t1201,log odds analysis result,,is output of,molecular activity,
t1202,log odds analysis result,,is output of,biological process,
t1203,log odds analysis result,,actively involved in,molecular activity,
t1204,log odds analysis result,,actively involved in,biological process,
t1205,log odds analysis result,,capable of,activity and behavior,
t1206,log odds analysis result,,capable of,phenomenon,
t1207,log odds analysis result,,capable of,environmental process,
t1208,log odds analysis result,,consumes,attribute,
t1209,log odds analysis result,,consumes,organism taxon,
t1210,log odds analysis result,,consumes,event,
t1211,log odds analysis result,,consumed by,attribute,
t1212,log odds analysis result,,consumed by,organism taxon,
t1213,log odds analysis result,,consumed by,event,
t1214,agent,,related to,attribute,
t1215,agent,,related to,organism taxon,
t1216,agent,,related to,event,
t1217,agent,,associated with,attribute,
t1218,agent,,associated with,organism taxon,
t1219,agent,,associated with,event,
t1220,agent,,contributor,study result,
t1221,agent,,contributor,study variable,
t1222,agent,,contributor,common data element,
t1223,agent,,publisher,book,
t1224,agent,,publisher,book chapter,
t1225,agent,,publisher,serial,
t1226,agent,,editor,book,
t1227,agent,,editor,book chapter,
t1228,agent,,editor,serial,
t1229,agent,,author,book,
t1230,agent,,author,book chapter,
t1231,agent,,author,serial,
t1232,agent,,assesses,attribute,
t1233,agent,,assesses,organism taxon,
t1234,agent,,assesses,event,
t1235,agent,,is assessed by,attribute,
t1236,agent,,is assessed by,organism taxon,
t1237,agent,,is assessed by,event,
t1238,agent,,interacts with,attribute,
t1239,agent,,interacts with,organism taxon,
t1240,agent,,interacts with,event,
t1241,agent,,associated with sensitivity to,molecular entity,
t1242,agent,,associated with sensitivity to,chemical mixture,
t1243,agent,,associated with sensitivity to,environmental food contaminant,
t1244,agent,,associated with resistance to,molecular entity,
t1245,agent,,associated with resistance to,chemical mixture,
t1246,agent,,associated with resistance to,environmental food contaminant,
t1247,agent,,correlated with,attribute,
t1248,agent,,correlated with,organism taxon,
t1249,agent,,correlated with,event,
t1250,agent,,positively correlated with,attribute,
t1251,agent,,positively correlated with,organism taxon,
t1252,agent,,positively correlated with,event,
t1253,agent,,negatively correlated with,attribute,
t1254,agent,,negatively correlated with,organism taxon,
t1255,agent,,negatively correlated with,event,
t1256,agent,,occurs together in literature with,attribute,
t1257,agent,,occurs together in literature with,organism taxon,
t1258,agent,,occurs together in literature with,event,
t1259,agent,,located in,attribute,
t1260,agent,,located in,organism taxon,
t1261,agent,,located in,event,
t1262,agent,,location of,attribute,
t1263,agent,,location of,organism taxon,
t1264,agent,,location of,event,
t1265,agent,,is input of,molecular activity,
t1266,agent,,is input of,biological process,
t1267,agent,,is output of,molecular activity,
t1268,agent,,is output of,biological process,
t1269,agent,,actively involved in,molecular activity,
t1270,agent,,actively involved in,biological process,
t1271,agent,,capable of,activity and behavior,
t1272,agent,,capable of,phenomenon,
t1273,agent,,capable of,environmental process,
t1274,agent,,consumes,attribute,
t1275,agent,,consumes,organism taxon,
t1276,agent,,consumes,event,
t1277,agent,,consumed by,attribute,
t1278,agent,,consumed by,organism taxon,
t1279,agent,,consumed by,event,
t1280,information content entity,,related to,attribute,
t1281,information content entity,,related to,organism taxon,
t1282,information content entity,,related to,event,
t1283,information content entity,,associated with,attribute,
t1284,information content entity,,associated with,organism taxon,
t1285,information content entity,,associated with,event,
t1286,information content entity,,has contributor,agent,
t1287,information content entity,,has provider,agent,
t1288,information content entity,,assesses,attribute,
t1289,information content entity,,assesses,organism taxon,
t1290,information content entity,,assesses,event,
t1291,information content entity,,is assessed by,attribute,
t1292,information content entity,,is assessed by,organism taxon,
t1293,information content entity,,is assessed by,event,
t1294,information content entity,,interacts with,attribute,
t1295,information content entity,,interacts with,organism taxon,
t1296,information content entity,,interacts with,event,
t1297,information content entity,,associated with sensitivity to,molecular entity,
t1298,information content entity,,associated with sensitivity to,chemical mixture,
t1299,information content entity,,associated with sensitivity to,environmental food contaminant,
t1300,information content entity,,associated with resistance to,molecular entity,
t1301,information content entity,,associated with resistance to,chemical mixture,
t1302,information content entity,,associated with resistance to,environmental food contaminant,
t1303,information content entity,,correlated with,attribute,
t1304,information content entity,,correlated with,organism taxon,
t1305,information content entity,,correlated with,event,
t1306,information content entity,,positively correlated with,attribute,
t1307,information content entity,,positively correlated with,organism taxon,
t1308,information content entity,,positively correlated with,event,
t1309,information content entity,,negatively correlated with,attribute,
t1310,information content entity,,negatively correlated with,organism taxon,
t1311,information content entity,,negatively correlated with,event,
t1312,information content entity,,occurs together in literature with,attribute,
t1313,information content entity,,occurs together in literature with,organism taxon,
t1314,information content entity,,occurs together in literature with,event,
t1315,information content entity,,located in,attribute,
t1316,information content entity,,located in,organism taxon,
t1317,information content entity,,located in,event,
t1318,information content entity,,location of,attribute,
t1319,information content entity,,location of,organism taxon,
t1320,information content entity,,location of,event,
t1321,information content entity,,is input of,molecular activity,
t1322,information content entity,,is input of,biological process,
t1323,information content entity,,is output of,molecular activity,
t1324,information content entity,,is output of,biological process,
t1325,information content entity,,actively involved in,molecular activity,
t1326,information content entity,,actively involved in,biological process,
t1327,information content entity,,capable of,activity and behavior,
t1328,information content entity,,capable of,phenomenon,
t1329,information content entity,,capable of,environmental process,
t1330,information content entity,,consumes,attribute,
t1331,information content entity,,consumes,organism taxon,
t1332,information content entity,,consumes,event,
t1333,information content entity,,consumed by,attribute,
t1334,information content entity,,consumed by,organism taxon,
t1335,information content entity,,consumed by,event,
t1336,dataset,,related to,attribute,
t1337,dataset,,related to,organism taxon,
t1338,dataset,,related to,event,
t1339,dataset,,associated with,attribute,
t1340,dataset,,associated with,organism taxon,
t1341,dataset,,associated with,event,
t1342,dataset,,has contributor,agent,
t1343,dataset,,has provider,agent,
t1344,dataset,,assesses,attribute,
t1345,dataset,,assesses,organism taxon,
t1346,dataset,,assesses,event,
t1347,dataset,,is assessed by,attribute,
t1348,dataset,,is assessed by,organism taxon,
t1349,dataset,,is assessed by,event,
t1350,dataset,,interacts with,attribute,
t1351,dataset,,interacts with,organism taxon,
t1352,dataset,,interacts with,event,
t1353,dataset,,associated with sensitivity to,molecular entity,
t1354,dataset,,associated with sensitivity to,chemical mixture,
t1355,dataset,,associated with sensitivity to,environmental food contaminant,
t1356,dataset,,associated with resistance to,molecular entity,
t1357,dataset,,associated with resistance to,chemical mixture,
t1358,dataset,,associated with resistance to,environmental food contaminant,
t1359,dataset,,correlated with,attribute,
t1360,dataset,,correlated with,organism taxon,
t1361,dataset,,correlated with,event,
t1362,dataset,,positively correlated with,attribute,
t1363,dataset,,positively correlated with,organism taxon,
t1364,dataset,,positively correlated with,event,
t1365,dataset,,negatively correlated with,attribute,
t1366,dataset,,negatively correlated with,organism taxon,
t1367,dataset,,negatively correlated with,event,
t1368,dataset,,occurs together in literature with,attribute,
t1369,dataset,,occurs together in literature with,organism taxon,
t1370,dataset,,occurs together in literature with,event,
t1371,dataset,,located in,attribute,
t1372,dataset,,located in,organism taxon,
t1373,dataset,,located in,event,
t1374,dataset,,location of,attribute,
t1375,dataset,,location of,organism taxon,
t1376,dataset,,location of,event,
t1377,dataset,,is input of,molecular activity,
t1378,dataset,,is input of,biological process,
t1379,dataset,,is output of,molecular activity,
t1380,dataset,,is output of,biological process,
t1381,dataset,,actively involved in,molecular activity,
t1382,dataset,,actively involved in,biological process,
t1383,dataset,,capable of,activity and behavior,
t1384,dataset,,capable of,phenomenon,
t1385,dataset,,capable of,environmental process,
t1386,dataset,,consumes,attribute,
t1387,dataset,,consumes,organism taxon,
t1388,dataset,,consumes,event,
t1389,dataset,,consumed by,attribute,
t1390,dataset,,consumed by,organism taxon,
t1391,dataset,,consumed by,event,
t1392,dataset distribution,,related to,attribute,
t1393,dataset distribution,,related to,organism taxon,
t1394,dataset distribution,,related to,event,
t1395,dataset distribution,,associated with,attribute,
t1396,dataset distribution,,associated with,organism taxon,
t1397,dataset distribution,,associated with,event,
t1398,dataset distribution,,has contributor,agent,
t1399,dataset distribution,,has provider,agent,
t1400,dataset distribution,,assesses,attribute,
t1401,dataset distribution,,assesses,organism taxon,
t1402,dataset distribution,,assesses,event,
t1403,dataset distribution,,is assessed by,attribute,
t1404,dataset distribution,,is assessed by,organism taxon,
t1405,dataset distribution,,is assessed by,event,
t1406,dataset distribution,,interacts with,attribute,
t1407,dataset distribution,,interacts with,organism taxon,
t1408,dataset distribution,,interacts with,event,
t1409,dataset distribution,,associated with sensitivity to,molecular entity,
t1410,dataset distribution,,associated with sensitivity to,chemical mixture,
t1411,dataset distribution,,associated with sensitivity to,environmental food contaminant,
t1412,dataset distribution,,associated with resistance to,molecular entity,
t1413,dataset distribution,,associated with resistance to,chemical mixture,
t1414,dataset distribution,,associated with resistance to,environmental food contaminant,
t1415,dataset distribution,,correlated with,attribute,
t1416,dataset distribution,,correlated with,organism taxon,
t1417,dataset distribution,,correlated with,event,
t1418,dataset distribution,,positively correlated with,attribute,
t1419,dataset distribution,,positively correlated with,organism taxon,
t1420,dataset distribution,,positively correlated with,event,
t1421,dataset distribution,,negatively correlated with,attribute,
t1422,dataset distribution,,negatively correlated with,organism taxon,
t1423,dataset distribution,,negatively correlated with,event,
t1424,dataset distribution,,occurs together in literature with,attribute,
t1425,dataset distribution,,occurs together in literature with,organism taxon,
t1426,dataset distribution,,occurs together in literature with,event,
t1427,dataset distribution,,located in,attribute,
t1428,dataset distribution,,located in,organism taxon,
t1429,dataset distribution,,located in,event,
t1430,dataset distribution,,location of,attribute,
t1431,dataset distribution,,location of,organism taxon,
t1432,dataset distribution,,location of,event,
t1433,dataset distribution,,is input of,molecular activity,
t1434,dataset distribution,,is input of,biological process,
t1435,dataset distribution,,is output of,molecular activity,
t1436,dataset distribution,,is output of,biological process,
t1437,dataset distribution,,actively involved in,molecular activity,
t1438,dataset distribution,,actively involved in,biological process,
t1439,dataset distribution,,capable of,activity and behavior,
t1440,dataset distribution,,capable of,phenomenon,
t1441,dataset distribution,,capable of,environmental process,
t1442,dataset distribution,,consumes,attribute,
t1443,dataset distribution,,consumes,organism taxon,
t1444,dataset distribution,,consumes,event,
t1445,dataset distribution,,consumed by,attribute,
t1446,dataset distribution,,consumed by,organism taxon,
t1447,dataset distribution,,consumed by,event,
t1448,dataset version,,related to,attribute,
t1449,dataset version,,related to,organism taxon,
t1450,dataset version,,related to,event,
t1451,dataset version,,associated with,attribute,
t1452,dataset version,,associated with,organism taxon,
t1453,dataset version,,associated with,event,
t1454,dataset version,,has contributor,agent,
t1455,dataset version,,has provider,agent,
t1456,dataset version,,assesses,attribute,
t1457,dataset version,,assesses,organism taxon,
t1458,dataset version,,assesses,event,
t1459,dataset version,,is assessed by,attribute,
t1460,dataset version,,is assessed by,organism taxon,
t1461,dataset version,,is assessed by,event,
t1462,dataset version,,interacts with,attribute,
t1463,dataset version,,interacts with,organism taxon,
t1464,dataset version,,interacts with,event,
t1465,dataset version,,associated with sensitivity to,molecular entity,
t1466,dataset version,,associated with sensitivity to,chemical mixture,
t1467,dataset version,,associated with sensitivity to,environmental food contaminant,
t1468,dataset version,,associated with resistance to,molecular entity,
t1469,dataset version,,associated with resistance to,chemical mixture,
t1470,dataset version,,associated with resistance to,environmental food contaminant,
t1471,dataset version,,correlated with,attribute,
t1472,dataset version,,correlated with,organism taxon,
t1473,dataset version,,correlated with,event,
t1474,dataset version,,positively correlated with,attribute,
t1475,dataset version,,positively correlated with,organism taxon,
t1476,dataset version,,positively correlated with,event,
t1477,dataset version,,negatively correlated with,attribute,
t1478,dataset version,,negatively correlated with,organism taxon,
t1479,dataset version,,negatively correlated with,event,
t1480,dataset version,,occurs together in literature with,attribute,
t1481,dataset version,,occurs together in literature with,organism taxon,
t1482,dataset version,,occurs together in literature with,event,
t1483,dataset version,,located in,attribute,
t1484,dataset version,,located in,organism taxon,
t1485,dataset version,,located in,event,
t1486,dataset version,,location of,attribute,
t1487,dataset version,,location of,organism taxon,
t1488,dataset version,,location of,event,
